date,ndvi,ts_id,ndvi_null,id
2017-12-31,0.644575599167082,0053_d,False,0053_d-470
2018-01-14,0.6681340726713338,0053_d,False,0053_d-471
2018-01-28,0.620566526427865,0053_d,False,0053_d-472
2018-02-11,0.5489748862882454,0053_d,False,0053_d-473
2018-02-25,0.5819682419962353,0053_d,False,0053_d-474
2018-03-11,0.6059935234487056,0053_d,False,0053_d-475
2018-03-25,0.5627138942480088,0053_d,False,0053_d-476
2018-04-08,,0053_d,True,0053_d-477
2018-04-22,0.5381544085840384,0053_d,False,0053_d-478
2018-05-06,0.5600356185601817,0053_d,False,0053_d-479
2018-05-20,0.5311597227222389,0053_d,False,0053_d-480
2018-06-03,,0053_d,True,0053_d-481
2018-06-17,0.7148425073259407,0053_d,False,0053_d-482
2018-07-01,0.4959974483897288,0053_d,False,0053_d-483
2018-07-15,0.6250290818512438,0053_d,False,0053_d-484
2018-07-29,0.6225600708276033,0053_d,False,0053_d-485
2018-08-12,0.5997005552984774,0053_d,False,0053_d-486
2018-08-26,0.580011357118686,0053_d,False,0053_d-487
2018-09-09,0.5197648425483041,0053_d,False,0053_d-488
2018-09-23,0.4942736821870009,0053_d,False,0053_d-489
2018-10-07,0.49123091312746203,0053_d,False,0053_d-490
2018-10-21,0.3825375966727734,0053_d,False,0053_d-491
2018-11-04,0.4741766998233894,0053_d,False,0053_d-492
2018-11-18,,0053_d,True,0053_d-493
2018-12-02,0.4705357692307896,0053_d,False,0053_d-494
2018-12-16,0.4422227273850391,0053_d,False,0053_d-495
2018-12-30,0.38132714794741734,0053_d,False,0053_d-496
2019-01-13,0.3718315280973911,0053_d,False,0053_d-497
2019-01-27,0.27818434219807386,0053_d,False,0053_d-498
2019-02-10,0.3555279464150468,0053_d,False,0053_d-499
2019-02-24,0.3177680886661013,0053_d,False,0053_d-500
2019-03-10,0.2851489367584387,0053_d,False,0053_d-501
2019-03-24,0.3105613324480752,0053_d,False,0053_d-502
2019-04-07,0.367817364136378,0053_d,False,0053_d-503
2019-04-21,0.1813296093915899,0053_d,False,0053_d-504
2019-05-05,0.22393487623582278,0053_d,False,0053_d-505
2019-05-19,,0053_d,True,0053_d-506
2019-06-02,0.21492091314246256,0053_d,False,0053_d-507
2019-06-16,0.28661263148403826,0053_d,False,0053_d-508
2019-06-30,,0053_d,True,0053_d-509
2019-07-14,0.28492299675320576,0053_d,False,0053_d-510
2019-07-28,0.2728675490866105,0053_d,False,0053_d-511
2019-08-11,0.2904394773559438,0053_d,False,0053_d-512
2019-08-25,,0053_d,True,0053_d-513
2019-09-08,,0053_d,True,0053_d-514
2019-09-22,0.23478342549254494,0053_d,False,0053_d-515
2019-10-06,0.17954891442010798,0053_d,False,0053_d-516
2019-10-20,0.2159807039548953,0053_d,False,0053_d-517
